#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
-10.0,1,2.411472
10.0,1,2.423661
3.0,1,2.427176
-10.0,1,2.429137
10.0,1,2.429137
10.0,1,2.429137
-10.0,1,2.429137
-10.0,1,2.429137
-10.0,1,2.429137
-10.0,1,2.429137
10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.442959
-10.0,1,2.460034
-10.0,1,2.460034
-10.0,1,2.460034
-10.0,1,2.460034
-10.0,1,2.460034
-10.0,1,2.460034
-10.0,1,2.474906
10.0,1,2.474906
10.0,1,2.474906
-10.0,1,2.484845
-10.0,1,2.484845
-10.0,1,2.490854
-10.0,1,2.491974
-10.0,1,2.491974
-10.0,1,2.491974
3.0,1,2.491974
10.0,1,2.491974
-10.0,1,2.491974
-10.0,1,2.50649
-10.0,1,2.50649
3.0,1,2.50649
-10.0,1,2.50649
-10.0,1,2.50649
3.0,1,2.50649
-10.0,1,2.50649
-10.0,1,2.50649
-10.0,1,2.523594
-10.0,1,2.527695
-10.0,1,2.527695
-10.0,1,2.5297
-10.0,1,2.533709
-10.0,1,2.535216
-10.0,1,2.535216
-10.0,1,2.538243
-10.0,1,2.542141
3.0,1,2.544147
3.0,1,2.544147
-10.0,1,2.544147
10.0,1,2.544147
-10.0,1,2.544147
-10.0,1,2.544147
-10.0,1,2.554275
-10.0,1,2.554275
-10.0,1,2.554275
10.0,1,2.554275
3.0,1,2.554275
-10.0,1,2.554275
10.0,1,2.554275
10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.57006
10.0,1,2.57006
-10.0,1,2.57006
-10.0,1,2.588516
-10.0,1,2.590875
-10.0,1,2.590875
-10.0,1,2.590875
-10.0,1,2.590875
-10.0,1,2.590875
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
-10.0,1,2.601455
10.0,1,2.617514
-10.0,1,2.617514
-10.0,1,2.617514
-10.0,1,2.617514
-10.0,1,2.623636
-10.0,1,2.623636
-10.0,1,2.623636
-10.0,1,2.623636
-10.0,1,2.623636
-10.0,1,2.623636
