#{"t_start": 1781094110.7139392, "env_id": "None"}
r,l,t
-10.0,1,3.775225
-10.0,1,3.782769
-10.0,1,3.784886
-10.0,1,3.784886
-10.0,1,3.784886
-10.0,1,3.794175
-10.0,1,3.796181
-10.0,1,3.796181
-10.0,1,3.798186
-10.0,1,3.805013
-10.0,1,3.806296
-10.0,1,3.806296
-10.0,1,3.806296
-10.0,1,3.815618
10.0,1,3.815618
-10.0,1,3.815618
-10.0,1,3.815618
10.0,1,3.826719
-10.0,1,3.827981
-10.0,1,3.829136
-10.0,1,3.829136
-10.0,1,3.837075
-10.0,1,3.839081
10.0,1,3.841086
3.0,1,3.843091
10.0,1,3.849534
10.0,1,3.853047
-10.0,1,3.853047
-10.0,1,3.853047
-10.0,1,3.866952
-10.0,1,3.866952
10.0,1,3.868691
-10.0,1,3.870697
-10.0,1,3.878409
-10.0,1,3.879673
-10.0,1,3.879673
-10.0,1,3.881678
-10.0,1,3.889205
-10.0,1,3.889205
-10.0,1,3.891211
-10.0,1,3.891211
-10.0,1,3.898751
-10.0,1,3.900498
10.0,1,3.906514
-10.0,1,3.90852
10.0,1,3.916542
-10.0,1,3.916542
10.0,1,3.916542
-10.0,1,3.916542
-10.0,1,3.928399
-10.0,1,3.930405
-10.0,1,3.930405
-10.0,1,3.933416
-10.0,1,3.933416
-10.0,1,3.940827
-10.0,1,3.942834
-10.0,1,3.944839
-10.0,1,3.94844
-10.0,1,3.94844
3.0,1,3.94844
-10.0,1,3.94844
-10.0,1,3.960877
-10.0,1,3.964451
-10.0,1,3.964451
-10.0,1,3.964451
-10.0,1,3.976975
-10.0,1,3.976975
-10.0,1,3.976975
3.0,1,3.980255
-10.0,1,3.986537
-10.0,1,3.988544
-10.0,1,3.988544
-10.0,1,3.988544
10.0,1,3.995787
-10.0,1,3.995787
-10.0,1,3.995787
-10.0,1,3.995787
-10.0,1,4.007811
-10.0,1,4.007811
-10.0,1,4.009818
-10.0,1,4.009818
10.0,1,4.014189
-10.0,1,4.014189
10.0,1,4.014189
-10.0,1,4.014189
-10.0,1,4.027273
10.0,1,4.027273
10.0,1,4.027273
10.0,1,4.033557
-10.0,1,4.040673
-10.0,1,4.042678
-10.0,1,4.042678
-10.0,1,4.044685
-10.0,1,4.053037
-10.0,1,4.053037
10.0,1,4.055043
-10.0,1,4.055043
-10.0,1,4.063749
-10.0,1,4.063749
10.0,1,4.063749
-10.0,1,4.063749
-10.0,1,4.074572
-10.0,1,4.078666
10.0,1,4.081087
10.0,1,4.081087
-10.0,1,4.086727
-10.0,1,4.086727
-10.0,1,4.090536
-10.0,1,4.090536
-10.0,1,4.099084
-10.0,1,4.100514
-10.0,1,4.102677
-10.0,1,4.102677
-10.0,1,4.110447
10.0,1,4.112455
-10.0,1,4.114463
-10.0,1,4.114463
10.0,1,4.122231
-10.0,1,4.122231
-10.0,1,4.122231
-10.0,1,4.122231
-10.0,1,4.133715
-10.0,1,4.133715
10.0,1,4.133715
-10.0,1,4.137964
-10.0,1,4.144347
